ev_date,avg_events_per_user
20230101,4.889423751402918
20230102,5.141956105241194
20230103,5.5490154418826005
20230104,7.116647100477042
20230105,4.268259164324759
20230106,5.211282080028401
20230107,6.040481972910003
20230108,6.450246673508706
20230109,4.2205513442766
20230110,4.230605003165628
20230111,4.8207291680842665
20230112,4.066363113686979
20230113,3.862079736950267
20230114,6.833700401563799
20230115,7.215594642016519
20230116,4.026866626674665
20230117,3.873890479463955
20230118,3.9570788107597923
20230119,4.378414635358182
20230120,4.580165391261417
20230121,7.314664228554541
20230122,7.0799968001279945
20230123,4.3844896526379875
20230124,4.231645521599401
20230125,5.49021808736446
20230126,4.613319064866645
20230127,4.852602072891493
20230128,7.4523152969148745
20230129,6.988039947058116
20230130,4.517987870992829
20230131,4.652692221182241
20230201,5.767025150790941
20230202,4.211340473535437
20230203,5.389208503752978
20230204,8.338634710297391
20230205,7.089236405603126
20230206,4.277273298457021
20230207,3.5826929368327582
20230208,4.7780939990242315
20230209,4.589779993054562
20230210,4.456834088235867
20230211,8.0030331321284
20230212,7.35903410836833
20230213,4.5700596658711214
20230214,3.6682692534524817
20230215,4.404001679167699
20230216,5.559161524239441
20230217,4.783525260587004
20230218,7.90775218565744
20230219,7.903819721911459
20230220,4.729009534395277
20230221,3.728177369401065
20230222,3.6723966044812952
20230223,6.411174282305047
20230224,5.989106482058958
20230225,8.220616416480357
20230226,7.601470466625068
20230227,4.642078307247533
20230228,4.699936423754694
20230301,5.818905592463989
20230302,3.991659385177536
20230303,4.495908148351387
20230304,7.95584347015464
20230305,7.234887097506012
20230306,4.782585397701376
20230307,4.272479463271613
20230308,3.583339659969364
20230309,5.615074113287454
20230310,4.796229807494881
20230311,7.789294565900936
20230312,7.988282980592108
20230313,4.287735303252681
20230314,4.149751020697142
20230315,4.657611156786796
20230316,6.642733373091715
20230317,5.561633733162701
20230318,7.793112213556119
20230319,7.690736678275016
20230320,4.087803688410855
20230321,4.205578524996036
20230322,4.448472717533795
20230323,4.410808783951326
20230324,5.621527985982024
20230325,6.0366328033536005
20230326,5.8987602494093085
20230327,5.5439085318985395
20230328,5.667821541453926
20230329,4.160905174165753
20230330,4.626632387243968
20230331,5.308123450949742
20230401,7.335839216882071
20230402,7.003650869835475
20230403,4.369619444832472
20230404,4.316740031761935
20230405,4.712561804697157
20230406,4.847205133879177
20230407,5.1909474588163835
20230408,8.223140855833917
20230409,6.761215757689817
20230410,5.855927608440798
20230411,3.3850637373819974
20230412,3.4826505088839053
20230413,4.65856654316017
20230414,5.0883907365127925
20230415,7.875574816701127
20230416,7.195748189633355
20230417,4.0600838288332195
20230418,3.647041787160833
20230419,3.6499642509209047
20230420,5.301071646724875
20230421,5.057990716005669
20230422,7.474041681776488
20230423,7.480420356819622
20230424,4.111033148108328
20230425,4.772936045669246
20230426,4.843527246051848
20230427,4.748844127912218
20230428,4.854259251313297
20230429,6.493429505143439
20230430,7.276332415357201
20230501,5.429584808411432
20230502,4.656219549720499
20230503,6.5498746151293545
20230504,4.325614864028391
20230505,5.084530964201725
20230506,7.0725114524066885
20230507,6.594307195282355
20230508,5.533646880246544
20230509,2.709211205015276
20230510,2.5783623178341486
20230511,3.8960652830649485
20230512,4.496922133660331
20230513,7.511862585952898
20230514,7.212604235264248
20230515,4.0121760891209
20230516,3.191656220539331
20230517,2.8433070687345308
20230518,4.544438817215766
20230519,5.276084727776346
20230520,7.162707481480567
20230521,7.1610540164356395
20230522,4.184029714063532
20230523,4.523638774744593
20230524,4.242263854745254
20230525,4.263292771000132
20230526,4.6337694822413775
20230527,7.06447005938956
20230528,7.317371664252572
20230529,4.482215738056104
20230530,3.936774814131981
